id,text,labels
w201106-0001277619-1,布川事件を描いたドキュメンタリー映画「ショージとタカオ」の試写会に行ってきました。,"[[19, 23], [24, 27]]"
w201106-0001292454-3,東京・霞が関の国交省で、小泉俊明政務官から近藤隆則高梁市長に認定証が手渡された。,"[[12, 16], [21, 25]]"
w201106-0001231705-1,こんにちはソロルファクトリーのサトウナオコです。,"[[15, 21]]"
w201106-0001241209-2,土俵入りの型には雲龍型と不知火型がある。,"[[8, 10], [12, 15]]"
w201106-0001241209-3,それぞれ１０代横綱・雲龍久吉と１１代横綱・不知火光右衛門の型が伝えられたものであるとされている。,"[[10, 14], [21, 28]]"
w201106-0001290480-1,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・後藤象二郎の居宅跡です。,"[[30, 35]]"
w201106-0001290480-2,後に岩崎弥太郎が譲り受けました。,"[[2, 7]]"
w201106-0001243550-1,ジェイデータは、前米副大統領アルバート・ゴア・ジュニア氏が同社の戦略顧問に就任したと発表した。,"[[14, 19], [20, 22], [23, 27]]"
w201106-0001243550-3,また、副大統領時代の経済および情報通信戦略顧問だったグレッグ・サイモン氏もゴア氏の補佐役として実務面を担当する。,"[[26, 30], [31, 35], [37, 39]]"
w201106-0001288227-2,江泊地区では最初の干拓地で、右田毛利［みぎたもうり］氏が干拓を行いました。,"[[14, 18], [19, 25]]"
w201106-0001225774-3,で昨夜、僕のホームページからリンクしているのほほんさんのホームページを久しぶりに訪問したんです。,"[[21, 25]]"
w201106-0001272572-3,トラン・アン・ユンは、キリストをめぐる物語『アイ・カム・ウィズ・ザ・レイン』を助走にして本作に挑んだ。,"[[0, 3], [4, 6], [7, 9]]"
w201106-0001298357-1,かねこ洋一の政治活動にご支援いただける後援会員を募集しております。,"[[0, 5]]"
w201106-0001225563-3,将来は斎藤一軍投手コーチのような活躍を目指したい。,"[[3, 5]]"
w201106-0001213710-1-01,異彩を放つのが東北楽天ドラフト１位の左腕・塩見貴洋投手だ。,"[[21, 25]]"
w201106-0001213710-2,塩見はストレートはもちろんだが、カーブ、チェンジアップなどの変化球と制球力を高く評価されてきた。,"[[0, 2]]"
w201106-0001202383-1,米大統領選の民主党候補指名を争うクリントン上院議員に対してオバマ上院議員が怒った。,"[[16, 21], [29, 32]]"
w201106-0001202383-2,オバマ氏の失言を執拗に追及するクリントン氏の戦術が腹に据えかねたよう。,"[[0, 3], [15, 20]]"
